Taxon	Home_range	Mass	Diet	Environment
Abrothrix_olivaceus	-1.61	-3.33	Omnivore	Terrestrial
Acinonyx_jubatus	2.91	1.70	Carnivore	Terrestrial
Aepyceros_melampus	0.51	1.80	Herbivore	Terrestrial
Ailuropoda_melanoleuca	0.62	1.94	Herbivore	Terrestrial
Ailurus_fulgens	0.01	0.73	Herbivore	Terrestrial
Alcelaphus_buselaphus	0.34	2.13	Herbivore	Terrestrial
Alces_alces	1.97	2.49	Herbivore	Terrestrial
Alopex_lagopus	1.45	0.70	Carnivore	Terrestrial
Alouatta_seniculus	0.81	-0.80	Omnivore	Terrestrial
Amblysomus_hottentotus	-1.20	-3.33	Omnivore	Terrestrial
Ammospermophilus_leucurus	-0.98	-1.30	Omnivore	Terrestrial
Ammospermophilus_nelsoni	-0.79	-1.40	Omnivore	Terrestrial
Ammotragus_lervia	0.96	2.22	Herbivore	Terrestrial
Antechinus_stuarti	-1.46	-1.56	Carnivore	Terrestrial
Antilocapra_americana	1.01	1.66	Herbivore	Terrestrial
Aonyx_capensis	1.29	2.08	Omnivore	Terrestrial
Aotus_trivirgatus	-0.04	-1.30	Omnivore	Terrestrial
Aplodontia_rufa	-2.98	0.05	Herbivore	Terrestrial
Apodemus_flavicollis	-2.12	-1.50	Herbivore	Terrestrial
Apodemus_sylvaticus	-1.88	-1.67	Herbivore	Terrestrial
Apomys_musculus	-1.67	-2.63	Omnivore	Terrestrial
Arctocephalus_gazella	3.75	1.53	Carnivore	Marine
Arctocephalus_tropicalis	5.34	1.52	Carnivore	Marine
Atherurus_africanus	-0.82	0.44	Herbivore	Terrestrial
Atilax_paludinosus	0.35	0.56	Carnivore	Terrestrial
Axis_axis	0.56	1.80	Herbivore	Terrestrial
Balaena_mysticetus	4.39	4.49	Carnivore	Marine
Bassariscus_astutus	-0.08	0.01	Omnivore	Terrestrial
Bathyergus_suillus	-2.57	-0.20	Herbivore	Terrestrial
Bettongia_gaimardi	-0.34	0.22	Herbivore	Terrestrial
Bison_bison	2.42	2.80	Herbivore	Terrestrial
Bison_bonasus	1.01	2.80	Herbivore	Terrestrial
Brachylagus_idahoensis	-2.31	-0.47	Herbivore	Terrestrial
Brachyteles_arachnoides	1.02	0.33	Omnivore	Terrestrial
Bradypus_torquatus	-1.35	0.59	Herbivore	Terrestrial
Bunopithecus_hoolock	0.83	-0.64	Omnivore	Terrestrial
Callicebus_moloch	-0.02	-1.52	Omnivore	Terrestrial
Callimico_goeldii	-0.25	-0.35	Omnivore	Terrestrial
Callithrix_humeralifera	-0.43	-0.89	Omnivore	Terrestrial
Callithrix_pygmaea	-0.91	-2.51	Omnivore	Terrestrial
Callosciurus_erythraeus	-1.85	-0.44	Omnivore	Terrestrial
Caluromys_philander	-1.50	-0.58	Omnivore	Terrestrial
Canis_adustus	0.04	0.98	Omnivore	Terrestrial
Canis_aureus	0.17	0.96	Omnivore	Terrestrial
Canis_familiaris	1.46	1.15	Omnivore	Terrestrial
Canis_latrans	1.46	1.20	Omnivore	Terrestrial
Canis_lupus	2.67	1.63	Carnivore	Terrestrial
Canis_mesomelas	1.20	1.00	Omnivore	Terrestrial
Canis_simensis	0.73	1.44	Carnivore	Terrestrial
Capra_hircus	1.81	1.71	Herbivore	Terrestrial
Capra_pyrenaica	-0.15	1.84	Herbivore	Terrestrial
Capreolus_capreolus	-0.17	1.38	Herbivore	Terrestrial
Caracal_caracal	2.58	1.11	Carnivore	Terrestrial
Castor_canadensis	-1.11	1.31	Herbivore	Terrestrial
Catagonus_wagneri	1.04	1.54	Herbivore	Terrestrial
Cebus_capucinus	0.48	-0.20	Omnivore	Terrestrial
Cephalophus_callipygus	-0.38	1.26	Herbivore	Terrestrial
Cephalophus_dorsalis	-0.45	1.31	Herbivore	Terrestrial
Cephalorhynchus_heavisidii	2.78	1.88	Carnivore	Marine
Ceratotherium_simum	1.20	3.35	Herbivore	Terrestrial
Cercartetus_nanus	-2.15	-1.62	Omnivore	Terrestrial
Cercopithecus_cephus	0.54	-0.46	Omnivore	Terrestrial
Cercopithecus_diana	0.64	0.28	Omnivore	Terrestrial
Cercopithecus_mitis	0.70	-0.80	Omnivore	Terrestrial
Cercopithecus_nictitans	0.72	0.24	Omnivore	Terrestrial
Cerdocyon_thous	0.48	0.76	Omnivore	Terrestrial
Cervus_elaphus	1.87	2.37	Herbivore	Terrestrial
Cervus_nippon	-0.07	1.47	Herbivore	Terrestrial
Cheirogaleus_major	-0.35	-1.40	Omnivore	Terrestrial
Chrysocyon_brachyurus	1.43	1.38	Omnivore	Terrestrial
Chrysospalax_trevelyani	-0.36	-3.21	Carnivore	Terrestrial
Coendou_prehensilis	-0.73	0.63	Herbivore	Terrestrial
Condylura_cristata	-1.32	-2.44	Carnivore	Terrestrial
Conepatus_humboldtii	-0.79	0.12	Omnivore	Terrestrial
Conepatus_semistriatus	-0.45	0.38	Omnivore	Terrestrial
Crocidura_russula	-2.00	-3.63	Carnivore	Terrestrial
Crocuta_crocuta	2.24	1.81	Carnivore	Terrestrial
Cryptomys_damarensis	-1.89	-0.83	Herbivore	Terrestrial
Cryptomys_hottentotus	-2.80	-1.19	Herbivore	Terrestrial
Cryptoprocta_ferox	0.98	-0.05	Carnivore	Terrestrial
Cryptotis_parva	-2.30	-2.76	Omnivore	Terrestrial
Cuon_alpinus	1.84	1.20	Carnivore	Terrestrial
Cyclopes_didactylus	-0.58	-1.40	Carnivore	Terrestrial
Cynictis_penicillata	-0.23	-0.21	Carnivore	Terrestrial
Cystophora_cristata	4.72	2.56	Carnivore	Marine
Dactylopsila_trivirgata	-0.38	-1.10	Omnivore	Terrestrial
Dama_dama	-0.01	1.85	Herbivore	Terrestrial
Dasypus_novemcinctus	0.60	-1.52	Omnivore	Terrestrial
Dasyurus_geoffroii	0.04	0.36	Carnivore	Terrestrial
Dasyurus_maculatus	0.52	0.16	Omnivore	Terrestrial
Dasyurus_viverrinus	0.04	-0.44	Omnivore	Terrestrial
Daubentonia_madagascariensis	0.44	-0.96	Omnivore	Terrestrial
Delphinapterus_leucas	3.52	3.18	Carnivore	Marine
Dendrolagus_lumholtzi	-1.71	0.82	Herbivore	Terrestrial
Desmana_moschata	-0.37	-2.28	Omnivore	Terrestrial
Diceros_bicornis	1.62	3.02	Herbivore	Terrestrial
Didelphis_marsupialis	-0.25	0.04	Omnivore	Terrestrial
Didelphis_virginiana	-0.28	0.70	Omnivore	Terrestrial
Dipodomys_ingens	-3.36	-0.81	Herbivore	Terrestrial
Dipodomys_merriami	-2.13	-1.38	Herbivore	Terrestrial
Dipodomys_ordii	-1.75	-1.25	Herbivore	Terrestrial
Dipodomys_spectabilis	-2.52	-0.84	Herbivore	Terrestrial
Dipodomys_stephensi	-2.83	-1.12	Herbivore	Terrestrial
Dolichotis_patagonum	-0.01	0.90	Herbivore	Terrestrial
Dugong_dugon	2.12	2.30	Herbivore	Marine
Echymipera_clara	0.08	-2.00	Omnivore	Terrestrial
Echymipera_kalubu	-0.08	-1.70	Omnivore	Terrestrial
Eira_barbara	1.16	0.65	Carnivore	Terrestrial
Elephantulus_rufescens	-2.47	-1.24	Carnivore	Terrestrial
Elephas_maximus	2.04	3.60	Herbivore	Terrestrial
Enhydra_lutris	0.18	1.44	Carnivore	Marine
Equus_burchelli	2.21	2.38	Herbivore	Terrestrial
Equus_caballus	1.35	2.63	Herbivore	Terrestrial
Equus_zebra	0.97	2.46	Herbivore	Terrestrial
Eremitalpa_granti	-1.33	-1.64	Carnivore	Terrestrial
Erethizon_dorsatum	-0.44	0.94	Herbivore	Terrestrial
Erinaceus_europaeus	-0.71	-0.10	Carnivore	Terrestrial
Erythrocebus_patas	0.90	1.61	Omnivore	Terrestrial
Eulemur_mongoz	0.25	-1.15	Omnivore	Terrestrial
Eumetopias_jubatus	4.68	2.44	Carnivore	Marine
Euphractus_sexcinctus	0.67	-0.03	Omnivore	Terrestrial
Felis_catus	0.17	0.53	Carnivore	Terrestrial
Felis_silvestris	0.45	0.68	Carnivore	Terrestrial
Fossa_fossana	0.27	-0.05	Omnivore	Terrestrial
Funambulus_pennantii	-2.74	-0.99	Herbivore	Terrestrial
Galago_senegalensis	-0.67	-0.96	Omnivore	Terrestrial
Galemys_pyrenaicus	-1.22	-2.86	Carnivore	Terrestrial
Galerella_pulverulenta	-0.23	-0.23	Omnivore	Terrestrial
Galictis_vittata	0.62	0.24	Carnivore	Terrestrial
Galidia_elegans	-0.09	-0.70	Omnivore	Terrestrial
Gazella_gazella	0.27	1.33	Herbivore	Terrestrial
Genetta_genetta	0.89	0.24	Carnivore	Terrestrial
Genetta_tigrina	-1.24	0.33	Carnivore	Terrestrial
Georychus_capensis	-3.57	-0.62	Herbivore	Terrestrial
Gerbillurus_paeba	-1.59	-2.00	Omnivore	Terrestrial
Giraffa_camelopardalis	2.14	3.13	Herbivore	Terrestrial
Glaucomys_sabrinus	-1.10	-0.83	Herbivore	Terrestrial
Glaucomys_volans	-1.53	-1.19	Herbivore	Terrestrial
Graphiurus_ocularis	-0.96	-1.16	Herbivore	Terrestrial
Gulo_gulo	2.56	1.33	Carnivore	Terrestrial
Halichoerus_grypus	3.42	1.92	Carnivore	Marine
Heliophobius_argenteocinereus	-3.76	-0.81	Herbivore	Terrestrial
Helogale_parvula	-0.55	-0.55	Carnivore	Terrestrial
