Taxon	Home_range_km2	Mass_kg	Diet	Environment
Abrothrix_olivaceus	-3.33	-1.61	Omnivore	Terrestrial
Acinonyx_jubatus	2.91	1.70	Carnivore	Terrestrial
Aepyceros_melampus	0.51	1.80	Herbivore	Terrestrial
Ailuropoda_melanoleuca	0.62	1.94	Herbivore	Terrestrial
Ailurus_fulgens	0.01	0.73	Herbivore	Terrestrial
Alcelaphus_buselaphus	0.34	2.13	Herbivore	Terrestrial
Alces_alces	1.97	2.49	Herbivore	Terrestrial
Alouatta_seniculus	-0.80	0.81	Omnivore	Terrestrial
Amblysomus_hottentotus	-3.33	-1.20	Omnivore	Terrestrial
Ammospermophilus_leucurus	-1.30	-0.98	Omnivore	Terrestrial
Ammospermophilus_nelsoni	-1.40	-0.79	Omnivore	Terrestrial
Ammotragus_lervia	0.96	2.22	Herbivore	Terrestrial
Antechinus_stuartii	-1.46	-1.56	Carnivore	Terrestrial
Antilocapra_americana	1.01	1.66	Herbivore	Terrestrial
Aonyx_capensis	2.08	1.29	Omnivore	Terrestrial
Aotus_trivirgatus	-1.30	-0.04	Omnivore	Terrestrial
Aplodontia_rufa	-2.98	0.05	Herbivore	Terrestrial
Apodemus_flavicollis	-2.12	-1.50	Herbivore	Terrestrial
Apodemus_sylvaticus	-1.88	-1.67	Herbivore	Terrestrial
Apomys_musculus	-2.63	-1.67	Omnivore	Terrestrial
Arctocephalus_gazella	3.75	1.53	Carnivore	Marine
Arctocephalus_tropicalis	5.34	1.52	Carnivore	Marine
Atherurus_africanus	-0.82	0.44	Herbivore	Terrestrial
Atilax_paludinosus	0.35	0.56	Carnivore	Terrestrial
Axis_axis	0.56	1.80	Herbivore	Terrestrial
Balaena_mysticetus	4.39	4.49	Carnivore	Marine
Bassariscus_astutus	-0.08	0.01	Omnivore	Terrestrial
Bathyergus_suillus	-2.57	-0.20	Herbivore	Terrestrial
Bettongia_gaimardi	-0.34	0.22	Herbivore	Terrestrial
Bison_bison	2.42	2.80	Herbivore	Terrestrial
Bison_bonasus	1.01	2.80	Herbivore	Terrestrial
Brachylagus_idahoensis	-2.31	-0.47	Herbivore	Terrestrial
